DATE,loan_growth,chargeoff_rate,gdp_growth,unemployment_rate,loan_growth_lag1,chargeoff_lag1
1986-03-31,1.2423378537500085,1.46,0.9294151553612906,7.033333333333334,0.9549414239704568,1.45
1986-06-30,1.1928320513981738,1.47,0.44928555450756136,7.166666666666667,1.2423378537500085,1.46
1986-09-30,1.216398580124256,1.56,0.9521209453502877,6.966666666666666,1.1928320513981738,1.47
1986-12-31,4.120364386133701,1.48,0.5349594167116223,6.833333333333333,1.216398580124256,1.56
1987-03-31,1.634092525028219,1.27,0.7391067993541611,6.599999999999999,4.120364386133701,1.48
1987-06-30,1.1531345856757191,1.2,1.0724067520746061,6.266666666666667,1.634092525028219,1.27
1987-09-30,1.184175126886533,1.11,0.86343963330755,6.0,1.1531345856757191,1.2
1987-12-31,0.7234118226462805,1.15,1.702383733255708,5.833333333333333,1.184175126886533,1.11
1988-03-31,1.059855516990904,1.18,0.5155512880753221,5.7,0.7234118226462805,1.15
1988-06-30,3.0573372517121555,1.35,1.3054737675524564,5.466666666666666,1.059855516990904,1.18
1988-09-30,1.067526904610272,1.04,0.5842595204775591,5.466666666666666,3.0573372517121555,1.35
1988-12-31,1.589522329194537,0.94,1.3236569374035057,5.333333333333333,1.067526904610272,1.04
1989-03-31,1.8891474260935404,0.92,1.0112643926211362,5.2,1.589522329194537,0.94
1989-06-30,1.26210317689619,0.89,0.7602027800347244,5.233333333333333,1.8891474260935404,0.92
1989-09-30,2.032181028409674,0.91,0.7380056517089173,5.233333333333333,1.26210317689619,0.89
1989-12-31,0.143909022395583,1.41,0.19678730209609085,5.366666666666667,2.032181028409674,0.91
1990-03-31,0.046826935369903566,1.41,1.0869532462091769,5.3,0.143909022395583,1.41
1990-06-30,0.48777527177863433,1.43,0.3623128836839129,5.333333333333333,0.046826935369903566,1.41
1990-09-30,-0.31160291485292646,1.28,0.06655952356169337,5.7,0.48777527177863433,1.43
1990-12-31,0.4150630569839997,1.3,-0.9145740648071055,6.133333333333333,-0.31160291485292646,1.28
1991-03-31,-1.0662718147302463,1.48,-0.4690389148507279,6.6000000000000005,0.4150630569839997,1.3
1991-06-30,-1.444183021688783,1.86,0.7766651894062448,6.833333333333333,-1.0662718147302463,1.48
1991-09-30,-0.9008994059183983,1.97,0.5040860353405563,6.866666666666667,-1.444183021688783,1.86
1991-12-31,-0.2678379737254488,1.83,0.34793883481079035,7.1000000000000005,-0.9008994059183983,1.97
1992-03-31,-1.8745594498745355,1.95,1.1901418421425447,7.366666666666667,-0.2678379737254488,1.83
1992-06-30,-1.0952270362887262,1.32,1.07846685927111,7.6000000000000005,-1.8745594498745355,1.95
1992-09-30,-0.38906787573500523,1.43,0.9832602998745443,7.633333333333333,-1.0952270362887262,1.32
1992-12-31,-0.24686375755731405,1.03,1.037455372331486,7.366666666666667,-0.38906787573500523,1.43
1993-03-31,-0.9458749458167048,0.94,0.1668045262061213,7.133333333333333,-0.24686375755731405,1.03
1993-06-30,-0.23555513544843976,0.85,0.5804828773424475,7.066666666666666,-0.9458749458167048,0.94
1993-09-30,-0.7577250500060195,0.68,0.47602004747613336,6.8,-0.23555513544843976,0.85
1993-12-31,-0.2503230818668989,0.56,1.3509823020076084,6.633333333333333,-0.7577250500060195,0.68
1994-03-31,1.8317898691726953,0.3,0.9656852032588148,6.566666666666666,-0.2503230818668989,0.56
1994-06-30,2.312128280397463,0.31,1.3460821575336013,6.2,1.8317898691726953,0.3
1994-09-30,2.650733076799483,0.19,0.5828824899406726,6.0,2.312128280397463,0.31
1994-12-31,2.9844770859165592,0.24,1.1390581866788096,5.633333333333333,2.650733076799483,0.19
1995-03-31,4.480241655875528,0.17,0.35415264608129604,5.466666666666666,2.9844770859165592,0.24
1995-06-30,2.476198968322141,0.12,0.2978787465089283,5.666666666666667,4.480241655875528,0.17
1995-09-30,2.269704491635949,0.33,0.8471272260706542,5.666666666666667,2.476198968322141,0.12
1995-12-31,1.2481284469172849,0.27,0.6767866746930196,5.566666666666666,2.269704491635949,0.33
1996-03-31,1.6763330953156519,0.31,0.7462586731000087,5.533333333333334,1.2481284469172849,0.27
1996-06-30,1.9225738167082618,0.28,1.6541866808907457,5.5,1.6763330953156519,0.31
1996-09-30,2.3358124592680163,0.23,0.8930342932712776,5.266666666666667,1.9225738167082618,0.28
1996-12-31,2.560901559241646,0.2,1.0330155049368628,5.333333333333333,2.3358124592680163,0.23
1997-03-31,2.1438842763521038,0.21,0.6433691338076031,5.233333333333333,2.560901559241646,0.2
1997-06-30,2.2403301614977167,0.23,1.6515051002674142,5.0,2.1438842763521038,0.21
1997-09-30,2.0597007037362225,0.35,1.2408386319378906,4.866666666666667,2.2403301614977167,0.23
1997-12-31,1.7324965688314542,0.27,0.8502355049371246,4.666666666666667,2.0597007037362225,0.35
1998-03-31,2.4510473862325632,0.34,0.9987489886350787,4.633333333333333,1.7324965688314542,0.27
1998-06-30,2.885929046254887,0.35,0.9214296481921735,4.3999999999999995,2.4510473862325632,0.34
1998-09-30,2.4036790895603843,0.41,1.251081507693641,4.533333333333333,2.885929046254887,0.35
1998-12-31,2.804321633903051,0.44,1.5963862490524505,4.433333333333334,2.4036790895603843,0.41
1999-03-31,0.5783681913343663,0.51,0.9350485127447072,4.3,2.804321633903051,0.44
1999-06-30,0.5877615626800115,0.54,0.8312781849570072,4.266666666666667,0.5783681913343663,0.51
1999-09-30,2.683949516980899,0.56,1.3171703285781433,4.233333333333333,0.5877615626800115,0.54
1999-12-31,2.528412183271822,0.57,1.6273535671066597,4.066666666666666,2.683949516980899,0.56
2000-03-31,2.528079034590114,0.61,0.3621369008051545,4.033333333333333,2.528412183271822,0.57
2000-06-30,3.4963654689104118,0.7,1.8049010344979521,3.9333333333333336,2.528079034590114,0.61
2000-09-30,0.9898089144861011,0.74,0.10188067037173454,4.0,3.4963654689104118,0.7
2000-12-31,1.0720018991078106,0.92,0.5952635784890248,3.9,0.9898089144861011,0.74
2001-03-31,0.6706579222176323,1.06,-0.3283372449143229,4.233333333333333,1.0720018991078106,0.92
2001-06-30,-1.874766222255353,1.24,0.6225609914771724,4.3999999999999995,0.6706579222176323,1.06
2001-09-30,-1.1621766224150676,1.43,-0.4014439041817752,4.833333333333333,-1.874766222255353,1.24
2001-12-31,-3.6483897823891276,1.78,0.2743986302357726,5.5,-1.1621766224150676,1.43
2002-03-31,-0.9353121380442531,1.74,0.8328805568895703,5.7,-3.6483897823891276,1.78
2002-06-30,-2.822077940033463,1.89,0.6108371693470005,5.833333333333333,-0.9353121380442531,1.74
2002-09-30,-1.7916722331165147,2.24,0.40568740473787557,5.733333333333333,-2.822077940033463,1.89
2002-12-31,-0.9005748003710679,1.32,0.1235287243973815,5.866666666666667,-1.7916722331165147,2.24
2003-03-31,-2.1122155747681504,1.65,0.5252600765849991,5.866666666666667,-0.9005748003710679,1.32
2003-06-30,-2.213960109800528,1.41,0.8817230452867975,6.133333333333333,-2.1122155747681504,1.65
2003-09-30,-1.9002157534216302,1.29,1.6495202585943503,6.133333333333333,-2.213960109800528,1.41
2003-12-31,-1.8266490905443078,0.83,1.1540367047402356,5.833333333333333,-1.9002157534216302,1.29
2004-03-31,-1.613193507612376,0.8,0.565052023890189,5.7,-1.8266490905443078,0.83
2004-06-30,-0.05392969644901768,0.58,0.7719649918941585,5.599999999999999,-1.613193507612376,0.8
2004-09-30,2.0153288660871738,0.45,0.9441229885171154,5.433333333333334,-0.05392969644901768,0.58
2004-12-31,2.206365936978827,0.39,1.0150391321133156,5.433333333333334,2.0153288660871738,0.45
2005-03-31,4.248446152087926,0.26,1.1032550529236573,5.3,2.206365936978827,0.39
2005-06-30,3.0347552852884263,0.24,0.49141503086236327,5.1000000000000005,4.248446152087926,0.26
2005-09-30,2.6066847798907666,0.21,0.7807581701131383,4.966666666666667,3.0347552852884263,0.24
2005-12-31,3.4915620005674164,0.31,0.5539792372076136,4.966666666666667,2.6066847798907666,0.21
2006-03-31,3.067952441233235,0.21,1.3364138447713003,4.733333333333333,3.4915620005674164,0.31
2006-06-30,4.5917500825005675,0.27,0.25841857488995146,4.633333333333333,3.067952441233235,0.21
2006-09-30,2.8252559876597694,0.3,0.14984360400802643,4.633333333333334,4.5917500825005675,0.27
2006-12-31,2.7364473358662877,0.34,0.8557775565416037,4.433333333333334,2.8252559876597694,0.3
2007-03-31,2.7396264172934615,0.37,0.3003840617131104,4.5,2.7364473358662877,0.34
2007-06-30,3.894656854451295,0.42,0.6098982914680917,4.5,2.7396264172934615,0.37
2007-09-30,6.558565456933696,0.46,0.5743731109307149,4.666666666666667,3.894656854451295,0.42
2007-12-31,4.944290964399833,0.65,0.6262715512194816,4.8,6.558565456933696,0.46
